local_artist,local_book,local_count,s3_artist,s3_book,similarity,similarity_pct,quality,original_quality
Various Artists,Various Artists - Ultimate 100 Pop Hits Of The 90s,101,Various Artists,Various Artists - Ultimate 100 Pop Hits Of The 90s,1.000,100.0%,EXCELLENT,POOR
Who,Who - Quadrophenia _PVG_,9,Who,Who - Who Anthology,0.510,51.0%,WEAK,POOR
Wings,Wings - London Town _PVG Book_,8,Pink,Pink - I'm Not Dead [pvg Book],0.535,53.5%,WEAK,POOR
_broadway Shows,Lerner And Loewe - Camelot,16,_broadway Shows,Lerner And Loewe - Camelot,1.000,100.0%,EXCELLENT,POOR
_broadway Shows,Rogers And Hammerstein - South Pacific,7,_broadway Shows,Rogers And Hammerstein - South Pacific,1.000,100.0%,EXCELLENT,POOR
_broadway Shows,Various Artists - Annie - Full Score,29,_broadway Shows,Various Artists - Annie - Full Score,1.000,100.0%,EXCELLENT,POOR
_broadway Shows,Various Artists - Beauty And The Beast _1994 MTI PC Score complete_,23,_broadway Shows,"Various Artists - Beauty And The Beast (1994 Mti Pc Score, Complete)",0.970,97.0%,EXCELLENT,POOR
_broadway Shows,Various Artists - Chicago _1975_,22,_broadway Shows,Various Artists - Chicago (1975),0.958,95.8%,EXCELLENT,POOR
_broadway Shows,Various Artists - Footloose _Score_,15,_broadway Shows,Various Artists - Footloose [score],0.961,96.1%,EXCELLENT,POOR
_broadway Shows,Various Artists - Grease _1994 Score_,13,_broadway Shows,Various Artists - Grease [1994 Score],0.962,96.2%,EXCELLENT,POOR
_broadway Shows,Various Artists - High School Musical [score],16,_broadway Shows,Various Artists - High School Musical _score_,0.967,96.7%,EXCELLENT,POOR
_broadway Shows,Various Artists - Les Miserables - Full Score,16,_broadway Shows,Various Artists - Les Miserables - Full Score,1.000,100.0%,EXCELLENT,POOR
_broadway Shows,Various Artists - Les Miserables - Piano-conductor _complete_,5,_broadway Shows,Various Artists - Les Miserables - Piano-conductor (complete),0.974,97.4%,EXCELLENT,POOR
_broadway Shows,Various Artists - Phantom Of The Opera _Score_,7,_broadway Shows,Various Artists - Phantom Of The Opera [score],0.968,96.8%,EXCELLENT,POOR
_broadway Shows,Various Artists - Rent _Score_,46,_broadway Shows,Various Artists - Rent [score],0.957,95.7%,EXCELLENT,POOR
_broadway Shows,Various Artists - Rocky Horror Show Revised - Full Score,24,_broadway Shows,Various Artists - Rocky Horror Show Revised - Full Score,1.000,100.0%,EXCELLENT,POOR
_broadway Shows,Various Artists - Seussical _PV Score_,34,_broadway Shows,Various Artists - Seussical [pv Score],0.963,96.3%,EXCELLENT,POOR
_broadway Shows,Various Artists - Seussical _Piano-Conductor_,13,_broadway Shows,Various Artists - Seussical [piano-conductor],0.967,96.7%,EXCELLENT,POOR
_broadway Shows,Various Artists - Sound Of Music,16,_broadway Shows,Various Artists - Sound Of Music,1.000,100.0%,EXCELLENT,POOR
_broadway Shows,Various Artists - Sound Of Music _Vocal Selections_,7,_broadway Shows,Various Artists - Sound Of Music (vocal Selections),0.970,97.0%,EXCELLENT,POOR
_broadway Shows,Various Artists - Sweeney Todd Vocal Score,19,_broadway Shows,Various Artists - Sweeney Todd Vocal Score,1.000,100.0%,EXCELLENT,POOR
_broadway Shows,Various Artists - The Hobbit Score,11,_broadway Shows,Various Artists - The Hobbit Score,1.000,100.0%,EXCELLENT,POOR
_broadway Shows,Various Artists - Wicked [pvg],6,_broadway Shows,Various Artists - Wicked [pvg],1.000,100.0%,EXCELLENT,POOR
_broadway Shows,Various Artists - Wicked _PVG_,13,_broadway Shows,Various Artists - Wicked [pvg],0.957,95.7%,EXCELLENT,POOR
_broadway Shows,Various Artists - Wizard Of Oz - Piano Conductor,24,_broadway Shows,Various Artists - Wizard Of Oz - Piano Conductor,1.000,100.0%,EXCELLENT,POOR
_broadway Shows,Various Artists - You're A Good Man Charlie Brown [revival] [score],22,_broadway Shows,Various Artists - You're A Good Man Charlie Brown [revival] [score],1.000,100.0%,EXCELLENT,POOR
_broadway Shows,Various Artists - Youre A Good Man Charlie Brown _Score_,38,_broadway Shows,Various Artists - You're A Good Man Charlie Brown [revival] [score],0.903,90.3%,EXCELLENT,POOR
_broadway Shows,Various Artists - Youre A Good Man Charlie Brown _revival_ _score_,38,_broadway Shows,Various Artists - You're A Good Man Charlie Brown [revival] [score],0.945,94.5%,EXCELLENT,POOR
_movie And Tv,John Williams - Star Wars Trilogy,14,_movie And Tv,John Williams - Star Wars Trilogy,1.000,100.0%,EXCELLENT,POOR
_movie And Tv,Kasha And Hirschorn - Petes Dragon,6,_movie And Tv,Kasha & Hirschorn - Pete's Dragon,0.947,94.7%,EXCELLENT,POOR
_movie And Tv,The Wizard Of Oz Script,20,_movie And Tv,Various Artists - Wizard Of Oz [book],0.659,65.9%,WEAK,POOR
_movie And Tv,Various Artists - Book Of Great TV Hits,41,_movie And Tv,Various Artists - Book Of Great Tv Hits,1.000,100.0%,EXCELLENT,POOR
_movie And Tv,Various Artists - High School Musical 2,13,_movie And Tv,Various Artists - High School Musical 2,1.000,100.0%,EXCELLENT,POOR
_movie And Tv,Various Artists - Movie Songs Of The 90s Vol 2,34,_movie And Tv,Various Artists - Movie Songs Of The 90s Vol 2,1.000,100.0%,EXCELLENT,POOR
_movie And Tv,Various Artists - Music From The Movies The Animated Collection,5,_movie And Tv,Various Artists - Music From The Movies The Animated Collection,1.000,100.0%,EXCELLENT,POOR
_movie And Tv,Various Artists - Star Trek _Piano Solo_,8,_movie And Tv,Various Artists - Star Trek (piano Solo),0.963,96.3%,EXCELLENT,POOR
_movie And Tv,Various Artists - Wizard Of Oz _Book_,10,_movie And Tv,Various Artists - Wizard Of Oz [book],0.961,96.1%,EXCELLENT,POOR
Elton John,Elton John - Songs From The West Coast,3,Elton John,Elton John - Songs From The West Coast,1.000,100.0%,EXCELLENT,NO_MATCH
Elton John,Elton John - The Big Picture,3,Elton John,Elton John - The Big Picture,1.000,100.0%,EXCELLENT,NO_MATCH
Fray,Fray - How To Save A Life _Book_,3,Fray,Fray - How To Save A Life [book],0.946,94.6%,EXCELLENT,NO_MATCH
Meatloaf,MeatLoaf - Bat Out Of Hell,3,Meatloaf,Meatloaf - Bat Out Of Hell,1.000,100.0%,EXCELLENT,NO_MATCH
Various Artists,Various Artists - 50s And 60s,81,Various Artists,Various Artists - 50's And 60's,0.978,97.8%,EXCELLENT,NO_MATCH
Various Artists,Various Artists - Biggest Pop Hits 1996-1997,36,Various Artists,Various Artists - Biggest Pop Hits 1996-1997,1.000,100.0%,EXCELLENT,NO_MATCH
_broadway Shows,Various Artists - Legally Blonde - score,1,_broadway Shows,Various Artists - Legally Blonde - Score,1.000,100.0%,EXCELLENT,NO_MATCH
_broadway Shows,Various Artists - Little Shop Of Horrors _Broadway_,2,_broadway Shows,Various Artists - Little Shop Of Horrors (original),0.881,88.1%,GOOD,NO_MATCH
_broadway Shows,Various Artists - Little Shop Of Horrors _original_,2,_broadway Shows,Various Artists - Little Shop Of Horrors (original),0.970,97.0%,EXCELLENT,NO_MATCH
_movie And Tv,Disney Collection _Songs Out Of order_,42,_movie And Tv,Disney Collection (songs Out Of Order),0.962,96.2%,EXCELLENT,NO_MATCH
_movie And Tv,Various Artists - 100 Of The Best Movie Songs Ever,101,_movie And Tv,Various Artists - 100 Of The Best Movie Songs Ever,1.000,100.0%,EXCELLENT,NO_MATCH
